"gvkey","year","Filing","Date","Restate_Int"
7620,2005,"0001193125-05-052706","3/16/2005",0
7620,2006,"0001193125-06-054960","3/15/2006",0
7620,2007,"0001193125-07-044355","3/1/2007",0
7620,2008,"0001193125-08-043756","2/29/2008",0
7620,2009,"0001193125-09-040617","2/27/2009",0
7636,2005,"0000950152-05-002215","3/16/2005",0
7636,2006,"0000950152-06-002199","3/16/2006",0
7636,2007,"0000950152-07-002247","3/16/2007",0
7636,2008,"0000950152-08-001976","3/17/2008",0
7636,2009,"0000950152-09-002679","3/16/2009",0
7648,2005,"0001193125-05-043533","3/7/2005",0
7648,2006,"0001193125-06-051223","3/10/2006",0
7648,2007,"0001193125-07-044457","3/1/2007",1
7648,2008,"0001193125-08-043581","2/29/2008",0
7648,2009,"0001193125-09-037725","2/26/2009",0
7658,2005,"0000072162-05-000011","3/30/2005",0
7658,2006,"0000072162-06-000003","3/16/2006",0
7658,2007,"0000059255-07-000023","3/13/2007",0
7658,2008,"0000059255-08-000019","3/12/2008",0
7658,2009,"0000059255-09-000047","3/12/2009",0
7660,2009,"0001144204-09-023824","5/4/2009",0
7662,2009,"0001019687-09-003182","8/31/2009",0
7672,2005,"0001104659-05-009167","3/2/2005",1
7682,2005,"0001193125-05-058084","3/23/2005",0
7682,2006,"0001193125-06-062863","3/24/2006",0
7682,2007,"0001193125-07-055707","3/15/2007",0
7682,2008,"0001193125-08-055689","3/13/2008",0
7682,2009,"0001193125-09-065648","3/27/2009",0
7685,2005,"0000950123-05-011653","9/29/2005",0
7685,2006,"0000950123-06-011882","9/25/2006",0
7685,2007,"0001157523-07-009519","9/28/2007",0
7685,2008,"0001157523-08-007740","9/30/2008",0
7685,2009,"0001157523-09-006870","10/13/2009",0
7691,2005,"0001104659-05-009168","3/2/2005",0
7691,2006,"0000950134-06-005247","3/16/2006",0
7691,2007,"0000950137-07-003133","3/1/2007",0
7691,2008,"0000950137-08-003198","3/3/2008",0
7691,2009,"0000950123-09-004469","3/12/2009",0
7692,2005,"0000950135-05-001535","3/18/2005",0
7692,2006,"0000950135-06-001767","3/24/2006",0
7692,2007,"0000950135-07-001846","3/26/2007",0
7694,2005,"0000950124-05-001355","3/8/2005",0
7694,2006,"0000950124-06-001245","3/15/2006",0
7694,2007,"0000950134-07-005057","3/7/2007",0
7694,2008,"0000950134-08-004908","3/17/2008",0
7694,2009,"0001193125-09-075591","4/8/2009",0
7696,2005,"0000950123-05-007650","6/23/2005",0
7696,2006,"0001144204-06-025853","6/23/2006",0
7696,2007,"0001144204-07-033113","6/22/2007",0
7696,2008,"0001144204-08-034894","6/12/2008",0
7696,2009,"0001144204-09-031909","6/10/2009",0
7733,2005,"0000950152-05-009904","12/12/2005",0
7733,2006,"0000950152-06-009990","12/8/2006",0
7733,2007,"0000950152-07-009346","11/29/2007",0
7733,2008,"0000950152-08-009791","11/26/2008",0
7733,2009,"0000950123-09-066226","11/25/2009",0
7741,2005,"0001047335-05-000044","3/7/2005",0
7741,2006,"0000950144-06-002368","3/16/2006",0
7741,2007,"0001047335-07-000033","3/16/2007",0
7741,2008,"0001047335-08-000031","3/17/2008",0
7741,2009,"0001047335-09-000031","3/6/2009",0
7750,2005,"0001047469-05-005606","3/8/2005",0
7750,2006,"0001047469-06-003135","3/9/2006",0
7750,2007,"0001104659-07-014090","2/27/2007",0
7750,2008,"0001104659-08-012766","2/26/2008",0
7750,2009,"0001193125-09-035651","2/24/2009",0
7759,2005,"0000950123-05-003280","3/17/2005",0
7759,2006,"0000950123-06-003279","3/16/2006",0
7759,2007,"0001104659-07-019215","3/14/2007",0
7759,2008,"0001104659-08-016742","3/11/2008",0
7759,2009,"0001104659-09-014270","3/4/2009",0
7762,2005,"0000897101-05-000724","3/16/2005",0
7762,2006,"0000897101-06-000595","3/16/2006",1
7762,2007,"0000897101-07-001809","8/27/2007",0
7762,2008,"0000897101-08-000656","3/17/2008",0
7762,2009,"0001116502-09-000400","3/16/2009",0
7772,2005,"0000070530-05-000075","8/9/2005",0
7772,2006,"0000070530-06-000052","7/27/2006",0
7772,2007,"0000070530-07-000053","7/26/2007",0
7772,2008,"0000070530-08-000055","7/23/2008",0
7772,2009,"0000070530-09-000064","7/29/2009",0
7781,2005,"0001104659-05-019590","5/2/2005",0
7781,2006,"0001104659-06-029026","4/28/2006",0
7781,2007,"0001104659-07-033383","4/30/2007",0
7781,2008,"0001047469-08-005554","4/29/2008",0
7781,2009,"0001047469-09-004785","4/30/2009",0
7798,2005,"0001047469-05-028606","12/22/2005",0
7798,2006,"0001047469-06-014898","12/11/2006",0
7798,2007,"0001047469-07-009535","11/27/2007",0
7798,2008,"0001047469-08-012647","12/1/2008",0
7798,2009,"0001047469-09-010477","11/30/2009",0
7799,2005,"0001104659-05-011412","3/16/2005",0
7799,2008,"0001104659-08-062460","10/7/2008",0
7799,2009,"0001104659-09-019160","3/20/2009",1
7817,2005,"0000720851-05-000033","3/30/2005",0
7817,2006,"0001140361-06-005876","4/14/2006",0
7824,2005,"0000950135-05-001491","3/16/2005",0
7824,2006,"0000950135-06-001412","3/6/2006",0
7824,2007,"0000950135-07-001313","3/1/2007",0
7824,2008,"0000741508-08-000011","2/27/2008",0
7824,2009,"0000741508-09-000009","2/23/2009",0
7828,2005,"0000071241-05-000011","3/31/2005",0
7841,2009,"0001169232-09-001658","3/23/2009",0
7849,2005,"0001104659-05-058182","11/29/2005",0
7849,2006,"0001104659-06-077505","11/22/2006",0
7849,2007,"0000356309-07-000114","12/10/2007",0
7849,2008,"0000356309-08-000064","11/24/2008",0
7849,2009,"0001140361-09-027697","11/30/2009",0
7850,2006,"0001047469-06-003438","3/15/2006",0
7853,2005,"0000950152-05-001642","3/1/2005",0
7862,2005,"0001046861-05-000011","3/14/2005",0
7862,2006,"0001046861-06-000007","3/1/2006",0
7863,2005,"0000897101-05-000801","3/30/2005",0
7863,2006,"0000897101-06-000675","3/30/2006",0
7863,2007,"0000897101-07-000662","3/28/2007",0
7863,2008,"0000897101-08-000654","3/17/2008",0
7863,2009,"0000897101-09-000657","3/30/2009",0
7866,2005,"0001047469-05-004590","2/24/2005",0
7866,2006,"0001047469-06-002366","2/23/2006",0
7866,2007,"0001104659-07-015629","3/1/2007",0
7866,2008,"0001104659-08-012938","2/26/2008",0
7866,2009,"0001104659-09-012370","2/26/2009",0
7875,2005,"0000950137-05-002621","3/3/2005",0
7875,2006,"0000950137-06-001966","2/16/2006",0
7875,2007,"0000950137-07-003109","3/1/2007",0
7875,2008,"0000950137-08-003094","2/29/2008",0
7875,2009,"0001193125-09-042727","3/2/2009",0
7881,2005,"0001193125-05-050868","3/15/2005",0
7881,2006,"0001193125-06-043441","3/2/2006",1
7881,2007,"0001193125-07-038537","2/26/2007",0
7881,2008,"0001193125-08-035169","2/21/2008",0
7881,2009,"0000950134-09-003236","2/19/2009",0
7882,2005,"0000950129-05-002502","3/16/2005",0
7882,2006,"0000950129-06-002613","3/14/2006",0
7882,2007,"0000950129-07-001410","3/16/2007",0
7882,2008,"0000950129-08-001593","3/7/2008",0
7882,2009,"0000950129-09-000824","3/10/2009",0
7883,2005,"0001193125-05-054102","3/17/2005",0
7883,2006,"0001193125-06-056489","3/16/2006",0
7883,2007,"0001193125-07-053719","3/14/2007",0
7883,2008,"0000892569-08-000282","3/11/2008",0
7883,2009,"0000892569-09-000199","3/17/2009",0
7906,2005,"0000950124-05-004551","7/29/2005",0
7906,2006,"0001193125-06-156152","7/28/2006",0
7906,2007,"0001193125-07-164166","7/27/2007",0
7906,2008,"0001193125-08-159004","7/28/2008",0
7906,2009,"0001193125-09-155951","7/27/2009",0
7911,2005,"0000897069-05-000305","2/4/2005",0
7911,2006,"0000897069-06-000254","2/1/2006",0
7911,2007,"0000897069-07-000214","1/30/2007",0
7911,2008,"0000897069-08-000207","2/1/2008",0
7911,2009,"0000897069-09-000168","1/30/2009",0
7912,2005,"0001104659-05-010676","3/14/2005",0
7912,2006,"0001047469-06-002817","3/3/2006",0
7912,2007,"0001104659-07-013911","2/26/2007",0
7912,2008,"0000072207-08-000002","2/27/2008",0
7912,2009,"0000072207-09-000004","2/19/2009",0
7920,2009,"0001062993-09-001072","3/31/2009",0
7921,2005,"0000950152-05-000245","1/14/2005",0
7921,2006,"0000950152-06-000197","1/13/2006",0
7921,2007,"0000950152-07-000253","1/12/2007",0
7921,2008,"0000950152-08-010466","12/19/2008",0
7921,2009,"0000950123-09-071805","12/18/2009",0
7922,2005,"0000891020-05-000104","4/8/2005",0
7922,2006,"0000950124-06-001459","3/24/2006",0
7922,2007,"0000950134-07-006483","3/23/2007",0
7922,2008,"0000950134-08-005196","3/21/2008",0
7922,2009,"0000950134-09-005871","3/23/2009",0
7923,2005,"0000702165-05-000071","3/2/2005",0
7923,2006,"0000702165-06-000097","2/23/2006",0
7923,2007,"0000702165-07-000067","2/22/2007",0
7923,2008,"0000702165-08-000047","2/15/2008",0
7923,2009,"0000702165-09-000050","2/18/2009",0
7938,2005,"0000950152-05-002157","3/15/2005",0
7938,2006,"0000950152-06-001530","3/1/2006",0
7938,2007,"0000950152-07-001632","2/28/2007",0
7938,2008,"0000950152-08-001379","2/26/2008",0
7938,2009,"0000950152-09-002559","3/13/2009",0
7951,2005,"0000950123-05-004625","4/18/2005",0
7951,2006,"0000950123-06-004587","4/12/2006",0
7951,2007,"0000072573-07-000006","3/30/2007",0
7951,2008,"0000072573-08-000003","3/27/2008",0
7951,2009,"0000072573-09-000006","4/9/2009",0
7965,2005,"0000950137-05-014777","12/12/2005",1
7965,2006,"0000077385-06-000135","12/14/2006",0
7965,2008,"0000077385-08-000001","2/28/2008",0
7965,2009,"0000916863-09-000063","2/26/2009",0
7974,2005,"0000950137-05-002819","3/9/2005",0
7974,2006,"0000950134-06-004660","3/10/2006",0
7974,2007,"0000950137-07-003072","3/1/2007",0
7974,2008,"0000950137-08-003307","3/5/2008",0
7974,2009,"0000950152-09-001944","2/27/2009",0
7977,2005,"0001104659-05-009425","3/4/2005",0
7977,2006,"0001104659-06-012011","2/27/2006",0
7977,2007,"0001104659-07-013272","2/23/2007",0
7977,2008,"0001047469-08-001516","2/20/2008",0
7977,2009,"0001047469-09-002013","2/27/2009",0
7978,2005,"0001104659-05-009424","3/4/2005",0
7978,2006,"0001104659-06-012565","2/28/2006",0
7978,2007,"0001104659-07-013957","2/27/2007",0
7978,2008,"0001104659-08-012670","2/25/2008",0
7978,2009,"0001104659-09-013170","2/27/2009",0
7985,2005,"0001193125-05-041833","3/4/2005",0
7985,2006,"0001193125-06-034521","2/17/2006",0
7985,2008,"0000950124-08-000713","2/20/2008",0
7985,2009,"0000950134-09-002265","2/10/2009",0
7991,2006,"0001125282-06-002894","5/17/2006",0
7991,2007,"0000930413-07-001796","2/28/2007",0
7991,2008,"0001144204-08-012125","2/27/2008",0
7991,2009,"0001144204-09-011131","2/27/2009",0
7993,2005,"0001193125-05-039972","3/1/2005",0
7993,2006,"0001193125-06-042551","3/1/2006",0
7993,2007,"0001193125-07-042782","2/28/2007",0
7993,2008,"0001193125-08-043700","2/29/2008",0
7993,2009,"0001193125-09-041266","3/2/2009",0
7994,2005,"0000950134-05-005199","3/16/2005",0
7994,2006,"0000950134-06-006167","3/30/2006",0
7994,2007,"0000950134-07-004720","3/5/2007",0
7994,2008,"0000950134-08-003869","2/29/2008",0
7994,2009,"0000950134-09-003936","2/27/2009",0
7995,2009,"0000950123-09-018636","6/29/2009",0
8001,2005,"0001104659-05-010721","3/14/2005",1
8001,2006,"0001104659-06-013882","3/3/2006",0
8001,2007,"0000073088-07-000008","2/28/2007",0
8001,2008,"0000073088-08-000008","2/26/2008",0
8001,2009,"0000073088-09-000025","2/13/2009",0
8017,2005,"0001193125-05-106644","5/13/2005",0
8017,2006,"0001193125-06-108693","5/11/2006",0
8017,2007,"0001144204-07-024441","5/11/2007",0
8030,2005,"0001193125-05-044753","3/8/2005",0
8030,2006,"0001193125-06-047010","3/7/2006",1
8030,2007,"0001193125-07-041965","2/28/2007",0
8030,2008,"0001193125-08-039702","2/27/2008",0
8030,2009,"0001193125-09-038676","2/26/2009",0
8047,2005,"0000950129-05-002752","3/23/2005",0
8047,2006,"0000950129-06-003000","3/23/2006",0
8047,2007,"0000950129-07-001831","4/2/2007",0
8047,2008,"0001193125-08-071259","3/31/2008",0
8068,2005,"0000797468-05-000041","3/1/2005",0
8068,2006,"0000797468-06-000031","3/1/2006",0
8068,2007,"0000797468-07-000027","2/27/2007",0
8068,2008,"0000797468-08-000026","2/22/2008",0
8068,2009,"0000797468-09-000015","2/24/2009",0
8073,2005,"0001116502-05-000581","3/31/2005",0
8073,2006,"0000350737-06-000002","3/30/2006",0
8073,2007,"0001169232-07-001623","3/29/2007",0
8073,2008,"0000350737-08-000001","3/31/2008",0
8073,2009,"0000350737-09-000011","3/31/2009",0
8079,2005,"0000950129-05-002449","3/16/2005",0
8079,2006,"0000950129-06-002636","3/14/2006",0
8079,2007,"0000950129-07-001045","2/28/2007",0
8079,2008,"0000950129-08-001240","2/27/2008",0
8079,2009,"0000950129-09-000581","2/26/2009",0
8080,2005,"0001035704-05-000168","3/24/2005",0
8080,2008,"0000950134-08-005148","3/21/2008",0
8087,2005,"0001104659-05-032468","7/14/2005",0
8087,2006,"0001104659-06-044634","6/29/2006",0
8087,2007,"0001104659-07-049160","6/21/2007",0
8087,2008,"0001104659-08-039576","6/12/2008",0
8087,2009,"0001104659-09-037935","6/12/2009",0
8092,2005,"0000950129-05-012004","12/16/2005",0
8092,2006,"0000950129-06-006133","6/8/2006",0
8092,2007,"0000073887-07-000025","5/22/2007",0
8092,2008,"0000073887-08-000013","5/21/2008",0
8092,2009,"0000073887-09-000040","5/21/2009",0
8101,2007,"0001104659-07-013226","2/23/2007",0
8101,2008,"0001047469-08-000744","1/31/2008",0
8101,2009,"0001047469-09-000191","1/15/2009",0
8102,2005,"0001015402-05-001012","3/2/2005",0
8102,2006,"0000004904-06-000041","3/1/2006",0
8102,2007,"0000004904-07-000046","2/28/2007",0
8102,2008,"0000004904-08-000023","2/28/2008",0
8102,2009,"0000004904-09-000044","2/27/2009",0
8105,2005,"0001206774-05-001657","10/20/2005",0
8105,2006,"0001206774-06-002151","10/20/2006",0
8105,2007,"0001206774-07-002369","10/10/2007",0
8105,2008,"0001206774-08-001654","10/10/2008",0
8105,2009,"0001206774-09-001889","10/9/2009",0
8113,2005,"0001021635-05-000037","2/25/2005",0
8113,2006,"0001021635-06-000039","2/24/2006",0
8113,2007,"0001021635-07-000042","2/16/2007",0
8113,2008,"0001021635-08-000045","2/28/2008",0
8113,2009,"0001021635-09-000076","2/13/2009",0
8123,2005,"0001193125-05-045641","3/9/2005",0
8123,2006,"0001193125-06-044128","3/3/2006",0
8123,2007,"0001193125-07-041049","2/27/2007",0
8123,2008,"0000074303-08-000017","2/28/2008",0
8123,2009,"0000074303-09-000008","2/25/2009",0
8133,2005,"0000950117-05-000991","3/16/2005",0
8133,2006,"0000950117-06-001246","3/16/2006",0
8133,2007,"0000930413-07-001883","3/1/2007",0
8133,2008,"0000930413-08-001273","2/28/2008",0
8133,2009,"0000930413-09-001035","2/26/2009",0
8162,2005,"0001104659-05-012758","3/25/2005",0
8162,2006,"0000950133-06-001618","3/31/2006",0
8162,2007,"0000950133-07-001507","4/2/2007",0
8162,2008,"0001047469-08-003513","3/27/2008",0
8176,2008,"0000074818-08-000011","3/31/2008",0
8176,2009,"0000074818-09-000007","3/31/2009",0
8210,2005,"0001047469-05-004917","2/28/2005",0
8210,2006,"0001104659-06-013267","3/1/2006",0
8210,2007,"0001047469-07-001515","3/1/2007",0
8210,2008,"0001047469-08-002019","2/29/2008",0
8210,2009,"0001047469-09-002054","3/2/2009",0
8213,2005,"0001193125-05-037398","2/25/2005",0
8213,2006,"0001193125-06-038705","2/24/2006",0
8213,2007,"0001193125-07-039764","2/26/2007",0
8213,2008,"0001193125-08-041911","2/28/2008",0
8213,2009,"0001193125-09-041161","2/27/2009",0
8214,2007,"0001193125-07-054643","3/14/2007",0
8214,2008,"0001193125-08-040193","2/27/2008",0
8214,2009,"0001193125-09-031783","2/18/2009",0
8215,2005,"0001047469-05-006751","3/16/2005",0
8215,2006,"0001104659-06-017125","3/16/2006",0
8215,2007,"0001104659-07-015390","3/1/2007",0
8215,2008,"0001104659-08-014206","2/29/2008",0
8215,2009,"0001104659-09-010082","2/17/2009",0
8219,2005,"0000950144-05-008828","8/16/2005",0
8219,2006,"0000950144-06-007947","8/15/2006",0
8219,2007,"0000950144-07-007028","7/31/2007",0
8219,2009,"0000950144-09-002819","4/1/2009",0
8229,2005,"0001047469-05-007988","3/28/2005",0
8229,2006,"0001104659-06-021386","3/31/2006",0
8229,2007,"0001104659-07-024924","4/2/2007",0
8229,2008,"0001047469-08-003855","3/31/2008",0
8229,2009,"0001047469-09-003490","3/31/2009",0
8247,2005,"0001193125-05-031817","2/17/2005",0
8247,2006,"0001193125-06-033428","2/16/2006",0
8247,2007,"0001193125-07-036001","2/21/2007",0
8247,2008,"0001193125-08-035206","2/21/2008",0
8247,2009,"0001193125-09-032796","2/19/2009",0
8264,2005,"0001047469-05-004204","2/18/2005",0
8264,2006,"0001004980-06-000066","2/17/2006",0
8264,2007,"0001004980-07-000057","2/22/2007",0
8264,2008,"0001004980-08-000054","2/22/2008",0
8264,2009,"0001004980-09-000009","2/24/2009",0
8266,2005,"0001015402-05-003171","6/21/2005",0
8266,2006,"0001144204-06-030398","7/31/2006",0
8266,2007,"0001144204-07-039073","7/30/2007",0
8266,2008,"0001144204-08-042052","7/28/2008",0
8266,2009,"0001144204-09-036590","7/9/2009",0
8272,2005,"0000086521-05-000014","2/23/2005",0
8272,2006,"0000086521-06-000008","2/23/2006",0
8272,2007,"0000086521-07-000014","2/23/2007",0
8272,2008,"0000086521-08-000015","2/26/2008",0
8272,2009,"0000086521-09-000010","2/24/2009",0
8290,2005,"0000075594-05-000015","5/27/2005",0
8290,2006,"0000075594-06-000028","5/30/2006",0
8290,2007,"0000075594-07-000003","3/2/2007",0
8290,2008,"0000075594-08-000026","2/29/2008",0
8290,2009,"0000075594-09-000008","2/27/2009",0
8293,2005,"0001157523-05-002543","3/15/2005",0
8304,2005,"0001125282-05-005303","10/14/2005",0
8304,2006,"0001125282-06-006276","10/13/2006",0
8304,2008,"0000950123-08-011511","9/29/2008",0
8304,2009,"0001206774-09-001862","9/29/2009",0
8326,2005,"0000950129-05-002482","3/16/2005",0
8326,2006,"0000203248-06-000012","3/16/2006",0
8326,2007,"0000203248-07-000026","3/1/2007",0
8326,2008,"0000203248-08-000013","2/29/2008",0
8326,2009,"0000203248-09-000006","2/26/2009",0
8330,2006,"0001019056-06-000350","3/31/2006",0
8333,2005,"0000898432-05-000242","3/16/2005",0
8333,2006,"0000893220-06-000556","3/15/2006",1
8333,2007,"0000893220-07-003041","9/6/2007",0
8333,2008,"0001144204-08-012727","2/29/2008",0
8333,2009,"0000878088-09-000023","3/2/2009",0
8334,2005,"0000708821-05-000002","3/24/2005",0
8334,2006,"0000708821-06-000006","3/16/2006",0
8334,2007,"0000708821-07-000004","3/16/2007",0
8334,2008,"0000708821-08-000003","3/17/2008",0
8334,2009,"0000708821-09-000005","3/16/2009",0
8336,2009,"0001193125-09-069440","3/31/2009",0
8341,2005,"0000950134-05-005131","3/16/2005",0
8341,2006,"0000950134-06-005311","3/16/2006",0
8341,2007,"0000950134-07-004378","2/28/2007",0
8348,2005,"0000076267-05-000009","5/16/2005",0
8348,2006,"0000950123-06-006295","5/12/2006",0
8348,2008,"0001133796-08-000176","5/15/2008",0
8348,2009,"0001133796-09-000089","5/15/2009",0
8350,2005,"0000950152-05-002164","3/16/2005",0
8350,2006,"0000950152-06-002179","3/16/2006",0
8357,2005,"0000950129-05-002479","3/16/2005",0
8357,2006,"0000950129-06-002500","3/10/2006",0
8357,2007,"0000950129-07-001103","3/1/2007",0
8357,2008,"0000950129-08-001394","2/29/2008",0
8357,2009,"0000950129-09-000707","3/2/2009",0
8358,2005,"0001193125-05-179715","9/2/2005",0
8358,2006,"0001193125-06-185778","9/6/2006",0
8358,2007,"0001193125-07-191627","8/29/2007",0
8358,2008,"0001193125-08-186353","8/28/2008",0
8358,2009,"0001193125-09-182706","8/27/2009",0
8386,2005,"0000914760-05-000095","3/31/2005",0
8386,2006,"0000914760-06-000072","3/28/2006",0
8386,2007,"0000914760-07-000050","4/2/2007",0
8386,2008,"0000914760-08-000059","3/31/2008",0
8386,2009,"0000914760-09-000078","4/15/2009",0
8387,2005,"0001193125-05-060806","3/25/2005",0
8387,2006,"0001193125-06-053948","3/15/2006",0
8387,2007,"0001193125-07-054684","3/14/2007",0
8387,2008,"0001193125-08-055640","3/13/2008",0
8387,2009,"0001193125-09-041032","2/27/2009",0
8402,2005,"0000950152-05-006110","7/22/2005",0
8402,2006,"0000950152-06-005992","7/21/2006",0
8402,2007,"0000950152-07-005944","7/20/2007",0
8402,2008,"0000950152-08-005502","7/18/2008",0
8402,2009,"0000950123-09-023519","7/20/2009",0
8423,2008,"0000950134-08-016361","9/9/2008",0
8423,2009,"0000950123-09-043047","9/14/2009",0
8439,2007,"0000950142-07-002544","10/31/2007",1
8440,2005,"0001193125-05-047875","3/11/2005",0
8440,2006,"0001206774-06-000463","3/16/2006",0
8440,2007,"0001193125-07-044304","3/1/2007",0
8440,2008,"0001193125-08-043593","2/29/2008",0
8440,2009,"0001193125-09-041160","2/27/2009",0
8446,2005,"0000950134-05-007107","4/8/2005",0
8446,2006,"0001193125-06-074761","4/6/2006",0
8446,2007,"0000950134-07-007548","4/4/2007",0
8446,2008,"0001193125-08-072384","4/1/2008",0
8446,2009,"0001193125-09-069467","3/31/2009",0
8455,2005,"0000922224-05-000010","3/1/2005",0
8455,2006,"0000922224-06-000018","3/3/2006",0
8455,2007,"0000922224-07-000030","2/28/2007",0
8455,2008,"0000922224-08-000013","2/29/2008",0
8455,2009,"0000922224-09-000020","2/27/2009",0
8465,2005,"0001104659-05-045348","9/22/2005",0
8475,2005,"0001206774-05-000607","4/15/2005",0
8475,2006,"0001206774-06-000751","4/12/2006",0
8475,2007,"0001104659-07-029230","4/18/2007",0
8475,2008,"0001047469-08-005642","5/1/2008",0
8475,2009,"0001047469-09-004183","4/15/2009",0
8479,2005,"0001193125-05-037811","2/28/2005",0
8479,2006,"0001193125-06-039968","2/27/2006",0
8479,2007,"0001193125-07-035201","2/20/2007",0
8479,2008,"0001193125-08-032441","2/15/2008",0
8479,2009,"0001193125-09-033126","2/19/2009",0
8486,2005,"0000077543-05-000008","3/4/2005",0
8486,2006,"0000077543-06-000015","3/10/2006",0
8486,2007,"0000077543-07-000018","3/7/2007",0
8486,2008,"0000077543-08-000015","2/28/2008",1
8486,2009,"0000077543-09-000018","2/27/2009",0
8488,2005,"0001125282-05-004710","9/8/2005",0
8488,2006,"0001125282-06-005280","8/24/2006",0
8488,2007,"0001193125-07-189095","8/24/2007",0
8512,2005,"0000077877-05-000019","3/31/2005",0
8512,2006,"0000077877-06-000037","5/31/2006",0
8512,2007,"0001140361-07-010649","5/23/2007",0
8512,2008,"0001140361-08-007391","3/20/2008",0
8512,2009,"0001140361-09-005340","2/27/2009",0
8515,2005,"0000950129-05-002441","3/15/2005",0
8515,2006,"0000950129-06-002518","3/10/2006",0
8515,2007,"0000950129-07-001396","3/16/2007",0
8515,2008,"0000950129-08-001632","3/11/2008",0
8515,2009,"0000950129-09-000886","3/16/2009",0
8530,2005,"0000950123-05-002379","2/28/2005",0
8530,2006,"0000930413-06-001567","3/1/2006",0
8530,2007,"0000930413-07-001807","3/1/2007",0
8530,2008,"0000930413-08-001360","2/29/2008",0
8530,2009,"0001193125-09-040568","2/27/2009",0
8536,2005,"0000950153-05-000441","3/7/2005",0
8539,2005,"0001193125-05-035141","2/23/2005",0
8539,2006,"0001193125-06-032686","2/15/2006",0
8539,2007,"0001193125-07-029587","2/13/2007",0
8539,2008,"0001193125-08-022265","2/7/2008",0
8539,2009,"0001193125-09-021261","2/6/2009",0
8542,2005,"0000950116-05-001011","3/15/2005",0
8542,2006,"0000950116-06-000785","3/14/2006",0
8542,2007,"0001362310-07-000195","2/28/2007",0
8542,2008,"0001362310-08-001150","2/27/2008",0
8542,2009,"0001362310-09-002971","2/27/2009",0
8543,2005,"0000950123-05-003146","3/15/2005",0
8543,2006,"0001193125-06-051165","3/10/2006",0
8543,2007,"0001193125-07-044345","3/1/2007",0
8543,2008,"0001193125-08-041586","2/28/2008",0
8543,2009,"0001193125-09-041005","2/27/2009",0
8549,2005,"0000950129-05-001641","2/25/2005",0
8549,2006,"0001104659-06-012015","2/27/2006",0
8549,2007,"0001104659-07-013338","2/23/2007",0
8549,2008,"0000950129-08-001094","2/22/2008",0
8549,2009,"0001362310-09-002769","2/25/2009",0
8551,2005,"0000078239-05-000009","4/14/2005",0
8551,2006,"0001047469-06-005175","4/14/2006",0
8551,2007,"0000078239-07-000011","4/5/2007",0
8551,2008,"0000078239-08-000010","4/3/2008",0
8551,2009,"0000078239-09-000013","4/1/2009",0
8577,2005,"0000950144-05-000287","1/14/2005",0
8577,2006,"0000950144-06-000311","1/17/2006",0
8577,2007,"0000950123-07-017176","12/28/2007",0
8577,2008,"0000950144-08-009565","12/29/2008",0
8577,2009,"0000950123-09-072907","12/23/2009",0
8579,2005,"0000950134-05-009915","5/12/2005",0
8579,2006,"0000950134-06-008292","5/1/2006",0
8579,2007,"0000950134-07-011746","5/16/2007",0
8579,2008,"0000950134-08-008719","5/7/2008",0
8579,2009,"0001047469-09-004982","5/4/2009",0
8582,2005,"0000088948-05-000018","6/14/2005",0
8582,2006,"0000088948-06-000016","6/14/2006",0
8582,2007,"0000088948-07-000018","6/14/2007",0
8582,2008,"0000088948-08-000014","6/16/2008",0
8582,2009,"0000088948-09-000012","6/12/2009",0
8599,2005,"0000950152-05-005588","6/29/2005",0
8599,2006,"0000950152-06-005048","6/9/2006",0
8599,2007,"0000950152-07-005074","6/12/2007",0
8599,2008,"0000950152-08-010319","12/16/2008",0
8599,2009,"0000950123-09-012356","6/9/2009",0
8606,2005,"0001206774-05-000278","3/8/2005",0
8606,2006,"0001206774-06-000420","3/13/2006",0
8606,2007,"0001206774-07-000561","3/1/2007",0
8606,2008,"0000930413-08-001359","2/29/2008",0
8606,2009,"0000930413-09-001039","2/26/2009",0
8613,2009,"0000216877-09-000034","12/11/2009",0
8633,2005,"0000950134-05-011109","5/31/2005",0
8633,2006,"0000950134-06-011093","6/5/2006",0
8633,2007,"0000914025-07-000011","5/29/2007",0
8633,2008,"0000914025-08-000016","5/27/2008",0
8633,2009,"0000914025-09-000027","5/26/2009",0
8638,2005,"0001169232-05-001436","3/2/2005",0
8638,2006,"0001169232-06-001551","3/16/2006",0
8638,2007,"0001169232-07-001453","3/16/2007",0
8638,2008,"0001169232-08-001333","3/14/2008",0
8655,2005,"0001104659-05-009767","3/7/2005",0
8675,2005,"0001193125-05-052185","3/16/2005",0
8681,2005,"0001144204-05-009586","3/31/2005",0
8681,2006,"0001144204-06-012412","3/30/2006",0
8681,2007,"0001144204-07-015555","3/30/2007",0
8687,2005,"0001157523-05-008767","10/14/2005",0
8687,2006,"0001157523-06-009892","10/16/2006",0
8692,2006,"0001193125-06-038583","2/24/2006",0
8692,2007,"0001193125-07-038308","2/23/2007",0
8692,2008,"0001193125-08-034507","2/20/2008",0
8692,2009,"0001193125-09-042452","3/2/2009",0
8693,2005,"0001193125-05-046776","3/11/2005",0
8694,2008,"0001135971-08-000035","2/29/2008",0
8694,2009,"0001135971-09-000032","3/2/2009",0
8699,2005,"0000080420-05-000015","1/31/2005",0
8699,2006,"0000950129-06-000313","1/17/2006",0
8699,2007,"0000950129-07-006026","12/7/2007",0
